,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song name
0,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,audio_features,4iJyoBOLtHqaGxP12qzhQI,spotify:track:4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,https://api.spotify.com/v1/audio-analysis/4iJyoBOLtHqaGxP12qzhQI,198082,4,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon)
1,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,audio_features,6n9DThpbZpZF9A5K3kysa4,spotify:track:6n9DThpbZpZF9A5K3kysa4,https://api.spotify.com/v1/tracks/6n9DThpbZpZF9A5K3kysa4,https://api.spotify.com/v1/audio-analysis/6n9DThpbZpZF9A5K3kysa4,183067,4,Justin Bieber,Mistletoe
2,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,audio_features,7kz4V8L9MiGdDPcGi4F2j3,spotify:track:7kz4V8L9MiGdDPcGi4F2j3,https://api.spotify.com/v1/tracks/7kz4V8L9MiGdDPcGi4F2j3,https://api.spotify.com/v1/audio-analysis/7kz4V8L9MiGdDPcGi4F2j3,183067,4,Justin Bieber,Mistletoe
3,0.638,0.515,10,-8.575,1,0.0288,0.521,0.0,0.317,0.419,100.01,audio_features,6lMV2oCyNSf5zy3GrWjqXy,spotify:track:6lMV2oCyNSf5zy3GrWjqXy,https://api.spotify.com/v1/tracks/6lMV2oCyNSf5zy3GrWjqXy,https://api.spotify.com/v1/audio-analysis/6lMV2oCyNSf5zy3GrWjqXy,206800,4,Justin Bieber,Christmas Love
4,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,audio_features,4ujZCIL3YzGzeIby5SZ8it,spotify:track:4ujZCIL3YzGzeIby5SZ8it,https://api.spotify.com/v1/tracks/4ujZCIL3YzGzeIby5SZ8it,https://api.spotify.com/v1/audio-analysis/4ujZCIL3YzGzeIby5SZ8it,216427,3,Justin Bieber,The Christmas Song (Chestnuts Roasting On An Open Fire)
5,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,audio_features,3ucfZz16G9spArllwu4rJu,spotify:track:3ucfZz16G9spArllwu4rJu,https://api.spotify.com/v1/tracks/3ucfZz16G9spArllwu4rJu,https://api.spotify.com/v1/audio-analysis/3ucfZz16G9spArllwu4rJu,183067,4,Justin Bieber,Mistletoe
6,0.409,0.57,6,-10.54,0,0.0711,0.687,0.0,0.173,0.336,128.657,audio_features,0A8qex6EBtVTAa4QX2EtE7,spotify:track:0A8qex6EBtVTAa4QX2EtE7,https://api.spotify.com/v1/tracks/0A8qex6EBtVTAa4QX2EtE7,https://api.spotify.com/v1/audio-analysis/0A8qex6EBtVTAa4QX2EtE7,223613,4,Justin Bieber,Christmas Eve
7,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,audio_features,1SEXqZ3QHXp0IuIt0JMM34,spotify:track:1SEXqZ3QHXp0IuIt0JMM34,https://api.spotify.com/v1/tracks/1SEXqZ3QHXp0IuIt0JMM34,https://api.spotify.com/v1/audio-analysis/1SEXqZ3QHXp0IuIt0JMM34,212093,4,Justin Bieber,Holy
8,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,audio_features,6WqtX8Ah4WxrOG57EG5Aix,spotify:track:6WqtX8Ah4WxrOG57EG5Aix,https://api.spotify.com/v1/tracks/6WqtX8Ah4WxrOG57EG5Aix,https://api.spotify.com/v1/audio-analysis/6WqtX8Ah4WxrOG57EG5Aix,183067,4,Justin Bieber,Mistletoe
9,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,audio_features,3PT6DdatO6Ab2oxn7usehx,spotify:track:3PT6DdatO6Ab2oxn7usehx,https://api.spotify.com/v1/tracks/3PT6DdatO6Ab2oxn7usehx,https://api.spotify.com/v1/audio-analysis/3PT6DdatO6Ab2oxn7usehx,183067,4,Justin Bieber,Mistletoe
10,0.533,0.426,9,-9.525,0,0.0297,0.46,0.0,0.1,0.152,103.267,audio_features,3tTvBUquqUOgiWNn6bLIY9,spotify:track:3tTvBUquqUOgiWNn6bLIY9,https://api.spotify.com/v1/tracks/3tTvBUquqUOgiWNn6bLIY9,https://api.spotify.com/v1/audio-analysis/3tTvBUquqUOgiWNn6bLIY9,216427,3,Justin Bieber,The Christmas Song (Chestnuts Roasting On An Open Fire)
11,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,audio_features,2wWuZlJJuhKtaLzhyJBBVW,spotify:track:2wWuZlJJuhKtaLzhyJBBVW,https://api.spotify.com/v1/tracks/2wWuZlJJuhKtaLzhyJBBVW,https://api.spotify.com/v1/audio-analysis/2wWuZlJJuhKtaLzhyJBBVW,183067,4,Justin Bieber,Mistletoe
